fname,iou_score_otsu,dice_score_otsu,iou_score_niblack,dice_score_niblack
1903309054.bmp,0.01422902721551966,0.00011003452914520218,0.005664592308919738,4.41779250375279e-05
1901111025.bmp,0.1555089837910719,0.001055533380832833,0.10784323839194529,0.0007634918835167295
1905010031.bmp,0.09168796646559657,0.0006587242212999006,0.04327137402360785,0.0003253068512427869
1905010050.bmp,0.009202453987730062,7.151796888968353e-05,0.0037892817459186873,2.960766504603658e-05
1100211017.bmp,0.002642177359361773,2.066835023422458e-05,0.000771362240694975,6.045236859569881e-06
1903709081.bmp,0.05089063434780092,0.00037981329087259836,0.02335467757791535,0.0001789936038804347
1910609004.bmp,0.0013952634477694143,1.0927995295210446e-05,0.00029957114026236124,2.3488739158478834e-06
1905010049.bmp,0.009533514492753623,7.406654817778259e-05,0.003961532670882264,3.094824200569602e-05
1901208041.bmp,0.003275414419812263,2.5605655727274785e-05,0.0008027882205513784,6.291327596716694e-06
1101608119.bmp,0.00801673056814221,6.237626447536137e-05,0.002134455211241464,1.6705168751710803e-05
1100212031.bmp,0.011536456070218129,8.945007157269145e-05,0.0043407886992348444,3.3898256394345885e-05
1901206034.bmp,0.005759141119188595,4.491108499186184e-05,0.004499852463853644,3.513485881978553e-05
1903710048.bmp,0.05966191581040769,0.00044159046164602843,0.024229632756437317,0.000185540751084476
1100212053.bmp,0.013547711505737598,0.00010483626929753369,0.004978035720011543,3.8850020621478336e-05
1901209014.bmp,0.004462415151261208,3.484384680976364e-05,0.0021494091647577627,1.6821953834398527e-05
1901210018.bmp,0.010367217766137393,8.047718736465802e-05,0.0038074626267484268,2.9749183071775383e-05
1812710102.bmp,0.008198486178511684,6.377896144658416e-05,0.004554194919542557,3.555724123217693e-05
1903711023.bmp,0.05752150985290036,0.0004266098539671757,0.02059267116363094,0.00015825230862893797
1903711020.bmp,0.05778525272196158,0.00042845905370801185,0.029056402031542368,0.0002214585603054376
1101610247.bmp,0.0016304648206488697,1.276714300011631e-05,0.000497877690860147,3.902979858970123e-06
1903311014.bmp,0.02084605504200796,0.00016015977150539266,0.008210521077817494,6.387182280020846e-05
1105111005.bmp,0.011958421488363536,9.268319635826333e-05,0.0036138214772190253,2.824163762394413e-05
1100212012.bmp,0.0020042311546598374,1.568801762287313e-05,0.0006865616990113511,5.381103179962924e-06
1105111016.bmp,0.015571803315287158,0.00012025913904801314,0.005163224516988674,4.028786328118654e-05
1100210009.bmp,0.00663652698081493,5.1708030268390645e-05,0.0016969373615217602,1.3286765830035575e-05
1903709088.bmp,0.05679471292854193,0.00042150923296815305,0.021246458923512748,0.00016317206494248184
1905012025.bmp,0.01957623215108245,0.00015059106994955198,0.012505271830281392,9.686918784872908e-05
